Parameters
Model,B
P,0.5
Initial Alpha,0.0
Independent,false
Leader's Influence,1.0
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader,avg directions
0,false,-1,0.0,2,33.60745574224957,1.203947182511351,0.6314803084793206
1,false,-1,-0.44049076166664447,2,33.71737374922107,0.5925580497671585,0.47647230516990885
2,false,-1,-1.554788924887193,2,33.75636252773812,0.5731500614973083,0.2928166714320294
3,false,-1,-4.2261917214634925,2,33.74313782546453,0.49084042152798957,0.18592646475096844
4,false,-1,-8.16193892721402,2,33.740468016574326,0.5116554921133184,0.11583801217132432
5,false,-1,-14.678331309469183,2,33.72912115336959,0.4848288918002679,0.07230576177135864
6,false,-1,-25.07393826404772,2,33.72566630167025,0.4937903193842035,0.0450463372555792
7,false,-1,-41.81442091152268,2,33.724016799756654,0.4916790625652816,0.02700332047397452
8,false,-1,-71.48252589585269,2,33.72304575590349,0.48904187230443485,0.015997601025124507
9,false,-1,-122.43757978738617,2,33.72111686425203,0.48431724942375864,0.010110885061043618
10,false,-1,-195.22542224511676,2,33.719716483561214,0.4836020324285264,0.006086525826109353
11,false,-1,-326.01341535262327,2,33.719274247904025,0.4846382647055735,0.0038285792616225677
12,false,-1,-519.8058468497122,2,33.718777377888195,0.48382032382367396,0.0023778772367889995
13,false,-1,-838.5051401902454,2,33.718439607963376,0.4837071144884231,0.0014240625580291353
14,false,-1,-1401.851494028238,2,33.7182319466047,0.4837099466262417,8.433956539828165E-4
15,false,-1,-2368.785067568546,2,33.71810790781375,0.48372472863714205,4.977452280784308E-4
16,false,-1,-4015.538691070129,0,34.608234317930574,0.4427531426578035,4.977452280784308E-4
