Parameters
Model,A
P,0.55
Initial Alpha,0.0
Independent,true
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,2,38.093017636577585,2.5976979399502733
1,false,-1,-0.3329701190343416,2,37.84084481389299,1.3283864399218213
2,false,-1,-1.3711084737041452,2,37.06164811439127,0.6840882104648838
3,false,-1,-1.6827233911311126,2,36.122279413744636,0.353355627490457
4,false,-1,-1.7683866724123378,2,35.13866352163845,0.18287345652664783
5,false,-1,-1.7914881130306886,2,34.14308413304074,0.09480738358623322
6,false,-1,-1.7977023601549336,2,33.14427995089769,0.04924004835532379
7,false,-1,-1.7993774044149289,2,32.144604741737,0.025624450684490555
8,false,-1,-1.7998305204327596,2,31.14469338617979,0.013364406352590529
9,false,-1,-1.7999536232824294,2,30.14471771498625,0.006987553502498989
10,false,-1,-1.7999872336341094,2,29.144724434791975,0.0036637683124236577
11,false,-1,-1.7999964617475088,2,28.144726304476073,0.0019272477584210558
12,false,-1,-1.7999990116486893,2,27.144726829105366,0.0010175951803110892
13,false,-1,-1.799999721399089,2,26.144726977775367,5.396564579927759E-4
14,false,-1,-1.799999920625174,2,25.144727020398875,2.876847443654367E-4
15,false,-1,-1.7999999770981914,2,24.144727032789934,1.5432282575349925E-4
16,false,-1,-1.7999999932912285,2,23.144727036453194,8.341860947023394E-5
17,false,-1,-1.7999999979981096,2,22.144727037558827,4.552391597798616E-5
18,false,-1,-1.7999999993887936,2,21.144727037901305,2.5148910293653068E-5
19,false,-1,-1.7999999998078926,2,20.144727038010988,1.4118768713300272E-5
20,false,-1,-1.7999999999372926,2,19.14472703804771,8.103651100511638E-6
21,false,-1,-1.7999999999784597,2,18.144727038060786,4.80257758983511E-6
22,false,-1,-1.799999999992046,2,17.144727038065888,2.9920542048538766E-6
23,false,-1,-1.7999999999967211,2,16.144727038068197,2.034986124419196E-6
24,false,-1,-1.7999999999983691,2,15.1447270380696,1.6751874756841998E-6
25,false,-1,-1.7999999999987935,2,14.144727038071824,2.937728813715871E-6
26,false,-1,-1.7999999999958711,1,13.644727038071826,2.9069190074872516E-6
27,false,-1,-0.8999999999999994,1,13.144727038071828,2.8876773191243265E-6
28,false,-1,-0.8999999999999998,1,12.644727038071828,2.8802267385274027E-6
29,false,-1,-0.8999999999999999,1,12.144727038071826,2.872776157930479E-6
30,false,-1,-0.8999999999999999,1,11.644727038071826,2.8802267385274027E-6
31,false,-1,-0.8999999999999999,1,11.144727038071824,2.910029060915098E-6
32,false,-1,-0.8999999999999992,1,10.644727038071823,2.8876773191243265E-6
33,false,-1,-0.8999999999999998,1,10.144727038071823,2.8802267385274027E-6
34,false,-1,-0.8999999999999999,1,9.644727038071823,2.8802267385274027E-6
35,false,-1,-0.8999999999999999,1,9.14472703807182,2.891026278680423E-6
36,false,-1,-0.8999999999999997,1,8.64472703807182,2.8802267385274027E-6
37,false,-1,-0.8999999999999999,1,8.144727038071823,2.8802267385274027E-6
38,false,-1,-0.8999999999999999,1,7.644727038071822,2.872776157930479E-6
39,false,-1,-0.8999999999999999,1,7.144727038071822,2.872776157930479E-6
40,false,-1,-0.8999999999999999,1,6.644727038071822,2.8894361626170414E-6
41,false,-1,-0.8999999999999998,1,6.144727038071823,2.8833128700582025E-6
42,false,-1,-0.8999999999999998,1,5.6447270380718235,2.872776157930479E-6
43,false,-1,-0.8999999999999999,1,5.144727038071823,2.8802267385274027E-6
44,false,-1,-0.8999999999999999,1,4.644727038071823,2.872776157930479E-6
45,false,-1,-0.8999999999999999,1,4.144727038071822,2.872776157930479E-6
46,false,-1,-0.8999999999999999,1,3.6447270380718204,2.872776157930479E-6
47,false,-1,-0.8999999999999999,1,3.14472703807182,2.872776157930479E-6
48,false,-1,-0.8999999999999999,1,2.6447270380718195,2.8802267385274027E-6
49,false,-1,-0.8999999999999999,1,2.14472703807182,2.893849582185926E-6
50,false,-1,-0.8999999999999997,1,1.6447270380718193,2.8833128700582025E-6
51,false,-1,-0.8999999999999998,1,1.1447270380718195,2.872776157930479E-6
52,false,-1,-0.8999999999999999,1,0.6447270380718197,2.872776157930479E-6
53,false,-1,-0.8999999999999999,0,0.6447270380718197,2.872776157930479E-6
