Parameters
Model,A
P,0.75
Initial Alpha,0.0
Independent,true
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,4,42.12947414374341,2.5761409278582037
1,true,2,0.9208410511946277,4,42.12947414374341,1.5707963267948966
2,false,-1,0.0,4,41.62977003230814,0.8008341334622255
3,false,-1,-1.4106377223841786,4,40.781306398595376,0.4124137571962808
4,false,-1,-1.8375783617423354,4,39.82325413986077,0.21309177431083481
5,false,-1,-1.9561877575494528,4,38.83459363771823,0.11030268058699683
6,false,-1,-1.9882258894408023,4,37.837645759628984,0.057178853353365325
7,false,-1,-1.9968327632977187,4,36.838467983886915,0.02968272363937332
8,false,-1,-1.9991460047593024,4,35.8386900217515,0.015432063680945865
9,false,-1,-1.9997690663107957,4,34.838750162584766,0.008036113516229652
10,false,-1,-1.9999373497611757,4,33.83876650725601,0.004192083167757571
11,false,-1,-1.99998294323514,4,32.8387709657922,0.002191012057846745
12,false,-1,-1.9999953381898403,4,31.8387721869568,0.001147546636876733
13,false,-1,-1.9999987204379899,4,30.83877252292618,6.024188737183867E-4
14,false,-1,-1.9999996471362858,4,29.83877261581738,3.170562544976136E-4
15,false,-1,-1.9999999021832915,4,28.83877264164235,1.6734349287178237E-4
16,false,-1,-1.9999999727265574,4,27.83877264886639,8.860625118305097E-5
17,false,-1,-1.9999999923458454,4,26.838772650901262,4.708473190375441E-5
18,false,-1,-1.9999999978360026,4,25.838772651478983,2.5122812302295192E-5
19,false,-1,-1.9999999993830198,4,24.8387726516445,1.3467812068886606E-5
20,false,-1,-1.9999999998223768,4,23.838772651692416,7.259431665397665E-6
21,false,-1,-1.9999999999482814,4,22.838772651706467,3.9377743573413135E-6
22,false,-1,-1.999999999984738,4,21.83877265171065,2.151688025012891E-6
23,false,-1,-1.9999999999954228,4,20.83877265171191,1.1844221292147141E-6
24,false,-1,-1.9999999999985998,4,19.838772651712304,6.629923679402042E-7
25,false,-1,-1.9999999999995608,4,18.838772651712432,3.717368289683857E-7
26,false,-1,-1.999999999999858,4,17.838772651712475,2.2007272858554025E-7
27,false,-1,-1.9999999999999516,4,16.83877265171249,1.279243001299721E-7
28,false,-1,-1.9999999999999827,4,15.838772651712494,8.480835978360449E-8
29,false,-1,-1.999999999999993,4,14.838772651712496,6.724535557898112E-8
30,false,-1,-1.9999999999999964,4,13.838772651712501,4.729428951250064E-8
31,false,-1,-1.9999999999999973,4,12.838772651712503,8.815438675519185E-8
32,false,-1,-1.9999999999999867,3,12.088772651712503,8.542728498377429E-8
33,false,-1,-1.5,3,11.338772651712503,9.069564104763605E-8
34,false,-1,-1.5,3,10.588772651712501,9.069564104763605E-8
35,false,-1,-1.5,2,10.088772651712503,1.1977276450676582E-7
36,false,-1,-0.9999999999999978,1,9.838772651712503,1.1977276450676582E-7
37,false,-1,-0.5,1,9.588772651712501,1.3270747889486655E-7
38,false,-1,-0.49999999999999944,1,9.338772651712503,1.259036658995557E-7
39,false,-1,-0.4999999999999998,1,9.088772651712501,1.1604747420830391E-7
40,false,-1,-0.5,1,8.838772651712501,1.1604747420830391E-7
41,false,-1,-0.5,1,8.588772651712501,1.1604747420830391E-7
42,false,-1,-0.5,1,8.338772651712501,1.1977276450676582E-7
43,false,-1,-0.5,1,8.088772651712501,1.1604747420830391E-7
44,false,-1,-0.5,1,7.838772651712501,1.2131583027216565E-7
45,false,-1,-0.4999999999999999,1,7.588772651712502,1.1604747420830391E-7
46,false,-1,-0.5,1,7.338772651712502,1.3575985759080755E-7
47,false,-1,-0.4999999999999992,1,7.088772651712501,1.259036658995557E-7
48,false,-1,-0.4999999999999998,1,6.838772651712501,1.1977276450676582E-7
49,false,-1,-0.5,1,6.588772651712502,1.2131583027216565E-7
50,false,-1,-0.4999999999999999,1,6.338772651712502,1.1604747420830391E-7
51,false,-1,-0.5,1,6.088772651712502,1.1604747420830391E-7
52,false,-1,-0.5,1,5.838772651712502,1.2349805480522774E-7
53,false,-1,-0.4999999999999999,1,5.588772651712502,1.1604747420830391E-7
54,false,-1,-0.5,1,5.338772651712502,1.1604747420830391E-7
55,false,-1,-0.5,1,5.088772651712503,1.1977276450676582E-7
56,false,-1,-0.5,1,4.838772651712502,1.1604747420830391E-7
57,false,-1,-0.5,1,4.588772651712502,1.1604747420830391E-7
58,false,-1,-0.5,1,4.338772651712502,1.1604747420830391E-7
59,false,-1,-0.5,1,4.088772651712502,1.1977276450676582E-7
60,false,-1,-0.5,1,3.8387726517125027,1.1604747420830391E-7
61,false,-1,-0.5,1,3.5887726517125023,1.2131583027216565E-7
62,false,-1,-0.4999999999999999,1,3.338772651712502,1.1604747420830391E-7
63,false,-1,-0.5,1,3.0887726517125014,1.1604747420830391E-7
64,false,-1,-0.5,1,2.838772651712502,1.2722334510368965E-7
65,false,-1,-0.4999999999999998,1,2.5887726517125023,1.2349805480522774E-7
66,false,-1,-0.4999999999999999,1,2.3387726517125023,1.2131583027216565E-7
67,false,-1,-0.4999999999999999,1,2.0887726517125023,1.1604747420830391E-7
68,false,-1,-0.5,1,1.8387726517125016,1.1604747420830391E-7
69,false,-1,-0.5,1,1.5887726517125005,1.2517253458327605E-7
70,false,-1,-0.4999999999999998,1,1.3387726517125014,1.2131583027216565E-7
71,false,-1,-0.4999999999999999,1,1.0887726517125014,1.2131583027216565E-7
72,false,-1,-0.4999999999999999,1,0.8387726517125007,1.1604747420830391E-7
73,false,-1,-0.5,1,0.5887726517125014,1.1604747420830391E-7
74,false,-1,-0.5,1,0.3387726517125024,1.33520634534127E-7
75,false,-1,-0.49999999999999933,0,0.3387726517125024,1.33520634534127E-7
