Parameters
Model,B
P,0.55
Initial Alpha,0.0
Independent,false
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader,avg angle from leader
0,false,-1,0.0,4,37.93544134807095,1.439335640601163
1,true,1,0.2855957043079501,4,38.43544134807095,1.6265866337186803
2,true,1,0.30327739754466587,4,38.93544134807095,1.9863179969196696
3,true,2,1.5103023910895672,4,38.93544134807095,1.1835336260999143
4,false,-1,-0.654318445716096,4,38.62939587766639,0.9382146610448112
5,false,-1,-1.315891674481004,4,38.187585329197574,0.9572168730115189
6,false,-1,-1.5055301189961319,4,37.73119871618816,0.9817637281996351
7,false,-1,-1.5720436898116512,4,37.22777921992177,1.0091020652697158
8,false,-1,-1.538746405878939,4,36.769015152353596,1.0389129738499916
9,false,-1,-1.4564238401526206,4,36.31149014092703,1.0702629028621118
10,false,-1,-1.3463946729173644,4,35.881054010756785,1.1026655745332454
11,false,-1,-1.2210990888082756,4,35.49698533927408,1.136106288707762
12,false,-1,-1.0893120301523265,4,35.137819805869945,1.1701816460910852
13,false,-1,-0.9533156248449175,4,34.81896722323977,1.2046997694030037
14,false,-1,-0.8161365991924738,4,34.532040173700615,1.2393921762086173
15,false,-1,-0.6792566662720163,4,34.27961485700122,1.2742596802530441
16,false,-1,-0.5430192076854246,4,34.059963021680375,1.309071673125446
17,false,-1,-0.40787574753843614,4,33.87537681189797,1.343762236171791
18,false,-1,-0.2748034295829249,4,33.72320049732791,1.3781950507678684
19,false,-1,-0.14353397083224695,4,33.60405769459251,1.412288024007375
20,false,-1,-0.014754337962637698,4,33.51659875028986,1.4459417628504605
21,true,2,0.11125794753835383,4,33.51659875028986,1.4459417628504605
22,false,-1,-0.0127899663767288,4,33.319547880846265,1.4739482056792106
23,false,-1,-0.01410432807048656,4,33.225897240896415,1.5052476939154689
24,true,0,0.18156889147404343,4,34.225897240896415,1.6637378538280074
25,true,2,0.8893400743559743,4,34.225897240896415,1.8657833652409472
26,true,4,1.1091049055568352,4,33.225897240896415,1.5052476939154689
27,false,-1,-0.15085884503995128,4,33.02553867095763,1.5277781976330882
28,false,-1,-0.0640756442074546,4,32.92568183540406,1.5553144707660942
29,true,2,0.1552671280408363,4,32.92568183540406,1.886214898260726
30,true,3,1.1482498476291942,4,32.42568183540406,1.7317237127106129
31,true,2,1.0325265296262656,4,32.425681835404056,1.886214898260726
32,true,3,1.1482498476291942,4,31.925681835404056,1.2762179629234263
33,false,-1,-0.3365982800509121,4,31.736559915995517,1.290429930077226
34,false,-1,-0.2825481454032742,4,31.60393828821581,1.1554022377010376
35,false,-1,-0.3219163999991277,4,31.409485608590366,1.3344322167938283
36,false,-1,-0.2841972609991207,4,31.26978440397469,1.502589677695216
37,false,-1,-0.16832883040456204,4,31.154636525820653,1.5597033000558072
38,true,0,0.03025287716783953,4,32.15463652582065,1.5765146358489093
39,true,2,0.8225351917144098,4,32.15463652582065,1.3013854817378374
40,false,-1,-0.23311675972014378,4,32.019757660572296,1.4264322816335304
41,false,-1,-0.1494721585458314,4,31.8620189055283,1.585101352074171
42,true,3,0.0286532398887015,4,31.36201890552829,1.585101352074171
43,true,2,0.08168521465869927,4,31.3620189055283,1.3241158028799784
44,false,-1,-0.1702121386849712,4,31.313980045465442,1.5717116976623307
45,true,2,0.0529898614371922,4,31.31398004546544,1.5344437544264582
46,true,1,0.6110588692267833,4,31.813980045465442,1.5309308246515092
47,true,1,0.01332884103851839,4,32.31398004546544,1.8625281942127638
48,true,2,0.9660076723562219,4,32.31398004546544,1.8561239720828095
49,true,1,1.0084162062521975,4,32.813980045465435,1.862528194212764
50,true,2,0.9660076723562219,4,32.813980045465435,1.534443754426359
51,true,3,0.5071535302534695,4,32.313980045465435,1.6071488991634455
52,true,1,0.15182131396151055,4,32.813980045465435,1.5309308246514908
53,true,2,0.013328841038485306,4,32.813980045465435,1.6071488991634446
54,true,2,0.5998328521411085,4,32.813980045465435,1.5344437544263
55,true,3,0.6110588692264172,4,32.31398004546544,1.7132602872658627
56,true,3,0.9739230914697918,4,31.81398004546544,1.3029533920287797
57,false,-1,-0.20682538603047784,4,31.638178406621694,1.3147518613936509
58,false,-1,-0.1626137147515485,4,31.535933357564737,1.2358398047222643
59,false,-1,-0.14323581754891213,4,31.452848135354564,1.447234172794862
60,false,-1,-0.04646098635933171,4,31.4014677003728,1.6146435049298011
61,true,1,0.17265886232182182,4,31.9014677003728,1.549201662777329
62,true,2,0.08058210184248615,4,31.901467700372798,1.5269491486599918
63,true,2,0.6367772202598205,4,31.901467700372798,1.526949148659985
64,true,1,0.4906858468403862,4,32.4014677003728,1.850511849889228
65,true,2,0.8930333753858885,4,32.4014677003728,1.3654984068720464
66,false,-1,-0.05472884689453128,4,32.305948673380634,1.503627679594599
67,true,3,0.07216747798281131,4,31.80594867338063,1.3171774552486575
68,false,-1,-0.13843151128269515,4,31.618984944092837,1.272027794687601
69,false,-1,-0.08818870785888311,4,31.482376458562033,1.3479333533275066
70,false,-1,-0.021746863129784577,4,31.34076670245711,1.5680163569325836
71,true,2,0.152867826406188,4,31.34076670245711,1.518716255530389
72,true,2,0.46163787834074554,4,31.34076670245711,1.8152232502536232
73,true,4,0.8681139228145347,4,30.340766702457113,1.6228763980593839
74,true,1,0.5289150111380495,4,30.84076670245711,1.8379838917961395
75,true,1,0.8174250078952164,4,31.340766702457117,1.564707485097428
76,true,2,0.1501967059524586,4,31.340766702457113,1.8152232502536232
77,true,3,0.8681139228145345,4,30.840766702457117,1.622876398059351
78,true,3,0.283861066175795,4,30.34076670245711,1.6869163263217781
79,true,2,0.8716494936704385,4,30.340766702457113,1.8152232502536232
80,true,0,0.8681139228145345,4,31.340766702457113,1.6228763980593532
81,true,3,0.8002906941684881,4,30.840766702457117,1.7631915857696028
82,true,2,0.8733020375519944,4,30.840766702457113,1.3964962610695606
83,true,2,0.03122892232178276,4,30.840766702457117,1.622876398059356
84,true,2,0.6687928421420589,4,30.840766702457117,1.6228763980593517
85,true,1,0.6546242195191183,4,31.340766702457117,1.6228763980593541
86,true,1,0.2166025902720421,4,31.84076670245712,1.8379838917961395
87,true,2,0.8174250078952158,4,31.840766702457124,1.6359878384680846
88,true,3,0.6955632081068699,4,31.340766702457124,1.3249051439730986
89,false,-1,-0.06789425597158227,4,31.204081231318604,1.3253741087254687
90,false,-1,-0.02425852475492629,4,31.09041226831288,1.318724285945235
91,true,2,0.014585632824849148,4,31.090412268312882,1.5616014617508474
92,true,4,0.6001370502816485,4,30.090412268312882,1.579991191838976
93,true,3,0.4039527561557965,4,29.59041226831288,1.3250575403040596
94,true,3,0.006679773418797552,4,29.090412268312882,1.7143991961923002
95,true,2,0.7787985410692599,4,29.090412268312882,1.779141311977828
96,true,3,0.7898840234673777,4,28.590412268312885,1.579991191838975
97,true,2,0.18491790315975243,4,28.59041226831289,1.5799911918389764
98,true,3,0.48844411988386627,4,28.09041226831289,1.7143991961922982
99,true,4,0.7787985410692574,4,27.09041226831289,1.5799911918389795
100,true,3,0.40395275615581616,3,26.84041226831289,1.7143991961922997
