Parameters
Model,A
P,0.55
Initial Alpha,0.0
Independent,true
Step Number,leader signal,# accepted signal,utility,# agents,avg dis from leader
1,false,-1,-1.4711178337820685,4,70.6535852395482
2,false,-1,-3.001060266794557,4,69.80511202428517
3,false,-1,-3.442707705619446,4,68.84494809716607
4,false,-1,-3.559380644007946,4,67.85524010626054
5,false,-1,-3.589551427000636,4,66.85788833132591
6,false,-1,-3.597313996769697,4,65.85856929259963
7,false,-1,-3.5993093536687617,4,64.85874443516133
8,false,-1,-3.5998223311495194,4,63.85878950377229
9,false,-1,-3.59995426872297,4,62.85880110788743
10,false,-1,-3.5999882215886716,4,61.85880409761663
11,false,-1,-3.5999969643281866,4,60.85880486844704
12,false,-1,-3.5999992170329493,4,59.85880506734075
13,false,-1,-3.5999997978923304,4,58.85880511870386
14,false,-1,-3.5999999477834237,4,57.85880513198052
15,false,-1,-3.59999998649598,4,56.85880513541595
16,false,-1,-3.59999999650378,4,55.85880513630593
17,false,-1,-3.5999999990936846,4,54.858805136536816
18,false,-1,-3.5999999997647203,4,53.85880513659679
19,false,-1,-3.5999999999388197,4,52.8588051366124
20,false,-1,-3.5999999999840595,4,51.85880513661648
21,false,-1,-3.5999999999958368,4,50.85880513661754
22,false,-1,-3.599999999998909,4,49.85880513661782
23,false,-1,-3.5999999999997128,4,48.85880513661789
24,false,-1,-3.599999999999924,4,47.85880513661791
25,false,-1,-3.599999999999979,4,46.85880513661792
26,false,-1,-3.599999999999994,4,45.85880513661792
27,false,-1,-3.5999999999999983,4,44.85880513661792
28,false,-1,-3.599999999999999,4,43.85880513661792
29,false,-1,-3.5999999999999996,4,42.85880513661792
30,false,-1,-3.5999999999999996,4,41.858805136617924
31,false,-1,-3.5999999999999965,4,40.858805136617924
32,false,-1,-3.5999999999999988,4,39.858805136617924
33,false,-1,-3.5999999999999996,4,38.85880513661792
34,false,-1,-3.5999999999999988,4,37.85880513661792
35,false,-1,-3.5999999999998993,3,37.108805136617946
36,false,-1,-2.699999999999974,3,36.35880513661795
37,false,-1,-2.699999999999993,3,35.60880513661796
38,false,-1,-2.699999999999748,3,34.85880513661803
39,false,-1,-2.6999999999999345,3,34.10880513661804
40,false,-1,-2.699999999999983,3,33.358805136618045
41,false,-1,-2.6999999999998066,3,32.608805136618095
42,false,-1,-2.699999999999949,3,31.858805136618113
43,false,-1,-2.6999999999999864,3,31.10880513661811
44,false,-1,-2.699999999999996,3,30.358805136618113
45,false,-1,-2.699999999999999,3,29.60880513661811
46,false,-1,-2.6999999999999997,3,28.85880513661811
47,false,-1,-2.6999999999999997,3,28.10880513661811
48,false,-1,-2.6999999999999997,3,27.35880513661811
49,false,-1,-2.6999999999999993,3,26.60880513661811
50,false,-1,-2.6999999999999997,3,25.85880513661811
51,false,-1,-2.6999999999999997,3,25.10880513661811
52,false,-1,-2.6999999999999997,3,24.35880513661811
53,false,-1,-2.6999999999999997,3,23.608805136618116
54,false,-1,-2.6999999999999895,3,22.858805136618116
55,false,-1,-2.699999999999997,3,22.108805136618116
56,false,-1,-2.699999999999999,3,21.358805136618116
57,false,-1,-2.6999999999999997,3,20.608805136618116
58,false,-1,-2.6999999999999997,3,19.858805136618116
59,false,-1,-2.6999999999999997,3,19.108805136618116
60,false,-1,-2.6999999999999993,3,18.358805136618116
61,false,-1,-2.6999999999999997,3,17.608805136618116
62,false,-1,-2.6999999999999997,3,16.85880513661812
63,false,-1,-2.6999999999999997,3,16.108805136618116
64,false,-1,-2.6999999999999997,3,15.35880513661812
65,false,-1,-2.6999999999999997,3,14.60880513661812
66,false,-1,-2.6999999999999997,3,13.85880513661812
67,false,-1,-2.6999999999999975,3,13.10880513661812
68,false,-1,-2.6999999999999993,3,12.35880513661812
69,false,-1,-2.6999999999999993,3,11.60880513661812
70,false,-1,-2.6999999999999997,3,10.858805136618122
71,false,-1,-2.6999999999999997,3,10.10880513661812
72,false,-1,-2.6999999999999997,3,9.358805136618123
73,false,-1,-2.6999999999999558,3,8.608805136618134
74,false,-1,-2.6999999999999855,3,7.858805136618139
75,false,-1,-2.6999999999999953,3,7.108805136618139
76,false,-1,-2.6999999999999953,3,6.358805136618141
77,false,-1,-2.699999999999999,3,5.608805136618144
78,false,-1,-2.6999999999999993,3,4.858805136618143
79,false,-1,-2.6999999999999997,3,4.108805136618144
80,false,-1,-2.6999999999999997,3,3.3588051366181446
81,false,-1,-2.6999999999999984,2,2.858805136618145
82,false,-1,-1.7999999999999994,1,2.6088051366181455
83,false,-1,-0.8999999999999998,1,2.3588051366181455
84,false,-1,-0.8999999999999999,1,2.108805136618145
85,false,-1,-0.8999999999999999,1,1.8588051366181457
86,false,-1,-0.8999999999999987,1,1.6088051366181457
87,false,-1,-0.8999999999999995,1,1.358805136618146
88,false,-1,-0.8999999999999997,1,1.1088051366181457
89,false,-1,-0.8999999999999998,1,0.8588051366181465
90,false,-1,-0.8999999999999999,1,0.6088051366181473
91,false,-1,-0.8999999999999996,0,0.6088051366181473
